course_id;course_name;module_code;module_name;course_subcategory;course_type;credits;required;availability;recommended_semester;prerequisites;frequency;language;description;url
DAT.B43UF;Machine Learning 2;ATCS,DS,ML,VC;Algorithms and Theoretical Computer Science,Data Science,Machine Learning,Visual Computing;Applications,Machine Learning,Fundamentals 1,Foundations of Visual Computing;VO;3,3,3,3;0,0,2,0;S;0,0,2,0;501.449,501.071,IND.03000UF,IND.02004UF;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/527746?$scrollTo=toc_overview
DAT.B44UF;Machine Learning 2;ATCS,DS,ML,VC;Algorithms and Theoretical Computer Science,Data Science,Machine Learning,Visual Computing;Applications,Machine Learning,Fundamentals 1,Foundations of Visual Computing;KU;2,2,2,2;0,0,2,0;S;0,0,2,0;;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/574008?$scrollTo=toc_overview
DAT.C103UF;Topological Data Analysis;ATCS,DS;Algorithms and Theoretical Computer Science,Data Science;Applications,Statistics;VU;5,5;0,0;S;0,0;501.071;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/576059?$scrollTo=toc_overview
DAT.C504UF;Network Science;ATCS,DS,ML;Algorithms and Theoretical Computer Science,Data Science,Machine Learning;Applications,Web Science,Data Mining;VU;5,5,5;0,0,0;W;0,1,0;706.979,706.002;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/579518?$scrollTo=toc_overview
721.020;Algorithms and Games;ATCS,GE;Algorithms and Theoretical Computer Science,Games Engineering;Algorithms,Game Design;VU;4,4;0,1;W;0,1;INF.04032UF,INF.03031UF,INP.236UF;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/597195?$scrollTo=toc_overview
706.054;Social Media Technologies;DS,GE;Data Science,Games Engineering;Social Data Science,AI and Data Analysis;VU;3,3;0,0;S;0,0;;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/576523?$scrollTo=toc_overview
DAT.C508UF;Cryptography;ATCS,ISEC;Algorithms and Theoretical Computer Science,Information Security;Applications,Cryptology and Privacy;VO;3,3;0,2;W;0,1;INP.33404UF,INP.33503UF;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/578863?$scrollTo=toc_overview
DAT.C509UF;Cryptography;ATCS,ISEC;Algorithms and Theoretical Computer Science,Information Security;Applications,Cryptology and Privacy;KU;2,2;0,2;W;0,1;INP.33404UF,INP.33503UF;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/579039?$scrollTo=toc_overview
705.005;Verification and Model Checking;ATCS,ISEC,ST;Algorithms and Theoretical Computer Science,Information Security,Software Technology;Logic and Its Applications,Formal Methods,Validation & Verification;VU;5,5,5;0,1,0;S;0,2,0;;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/589221?$scrollTo=toc_overview
705.054;Privacy Enhancing Technologies;DS,ISEC;Data Science,Information Security;Data Management,Cryptology and Privacy;VO;3,3;0,0;W;0,0;INP.33404UF,INP.33503UF;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/577877?$scrollTo=toc_overview
